Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Sampling Start,Sampling End,State,District,Location,Geo_Type,Resolution,Lat_1,Lon_1,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Lat_9,Lon_9,Lat_10,Lon_10,Lat_11,Lon_11,Lat_12,Lon_12,Sources,,,,,,,,,,
124,27,38,"Observations on nocturnal activity and man biting habits of malaria vectors, Anopheles fluviatilis, An. annularis and An. culicifacies in the hill tracts of Koraput District, Orissa, India.",Gunasekaran,1994,1988,1990,Orissa,Koraput,Kandhaguda,Single,Point,18.4865,82.2963,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Malkangiri/Khairaput/Kandhaguda,,,,,,,,,,
126,28,39,"Reliability of light trap sampling for Anopheles fluviatilis, a vector of malaria.",Gunaesekaran,1994,1988,1990,Orissa,Koraput,Various,Polygon,Constructed,19.0626,82.6564,19.0346,82.6213,19.1116,82.5821,19.1116,82.5821,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Koraput/Borigumma/Semlaguda,http://www.onefivenine.com/india/villages/Koraput/Borigumma/Benasur,http://www.onefivenine.com/india/villages/Koraput/Borigumma/B.Singpur,http://www.onefivenine.com/india/villages/Koraput/Borigumma/Champapadar,,,,,,,
134,29,40,"Urban malaria and its vectors Anopheles stephensi and Anopheles culicifacies (Diptera : Culicidae) in Gurgaon, India.",Sharma,1995,1986,1986,Haryana,Delhi,Gurgaon city,Single,Wide Area,28.4389,77.0058,,,,,,,,,,,,,,,,,,,,,,,"Geonames with village names, #1 results taken",,,,,,,,,,
140,30,41,"Bionomics of vector anophelines in District Naini Tal, Uttar Pradesh.",Shukla,1995,1985,1988,Uttar Pradesh,Nainital,Bhabar Villages- couldn't find Bhawani Singh Newar so just Himmatpur Chamwal,Single,Wide Area,29.1275,79.5399,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Nainital/Haldwani/Himmatpur-Chamwal,,,,,,,,,,
140,30,42,"Bionomics of vector anophelines in District Naini Tal, Uttar Pradesh.",Shukla,1995,1985,1988,Uttar Pradesh,Nainital,Various,2_Singles,Wide Area,28.9952,79.5455,29.0165,79.3974,,,,,,,,,,,,,,,,,,,,,http://wikimapia.org/10117675/shantipuri-no-3-mod-chakki,"https://www.google.co.uk/maps/place/Pantnagar,+Uttarakhand,+India/@29.0165692,79.3974132,12z/data=!3m1!4b1!4m5!3m4!1s0x39a08742a40e4db1:0x74b2daf1a18fc663!8m2!3d29.0221538!4d79.4908489",,,,,,,,,
141,31,43,"Anophelines of Siliguri-Naxalbari block, Darjeeling, West Bengal.",Malakar,1995,1993,1994,West Bengal,Darjeeling,Various,Polygon,Constructed,26.7322,88.4093,26.7341,88.3772,26.7146,88.4277,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Pradhan+Nagar,+Siliguri,+West+Bengal,+India/@26.7322451,88.4093712,15z/data=!4m5!3m4!1s0x39e441188e5a67eb:0x9bbb838651148076!8m2!3d26.7335217!4d88.4197886","https://www.google.co.uk/maps/place/West+Bengal+734010,+India/@26.7341366,88.3772473,1195m/data=!3m1!1e3!4m22!1m16!4m15!1m6!1m2!1s0x39e44114f5441dcd:0xdeb5c4702063edff!2sSiliguri,+West+Bengal,+India!2m2!1d88.3952861!2d26.7271012!1m6!1m2!1s0x39e446f1d5a3f0fd:0x358cf81a37231a1b!2sWest+Bengal+734010,+India!2m2!1d88.3773462!2d26.7345179!3e2!3m4!1s0x39e446f1d5a3f0fd:0x358cf81a37231a1b!8m2!3d26.7345179!4d88.3773462","https://www.google.co.uk/maps/place/Rathkhola,+Rabindra+Sarani,+Siliguri,+West+Bengal,+India/@26.7146646,88.4277252,14z/data=!4m5!3m4!1s0x39e4419e5defbf4d:0xc6800833714698c3!8m2!3d26.7138473!4d88.4419523",,,,,,,,
143,32,44,Indoor resting anophelines of north Bengal.,Malakar,1995,1993,1994,West Bengal,Darjeeling,Sukna,Single,Wide Area,26.7886,88.368,,,,,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
143,32,45,Indoor resting anophelines of north Bengal.,Malakar,1995,1993,1994,West Bengal,Darjeeling,Rongtong,Single,Wide Area,26.8358,88.3419,,,,,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
153,33,46,"Dynamics of malaria transmission in forested and deforested regions of Mandla district, Central India (Madhya Pradesh)",Singh,1996,1990,1990,Madhya Pradesh,Mandla,Site 1 villages,Single,Wide Area,22.827,80.123,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
153,33,47,"Dynamics of malaria transmission in forested and deforested regions of Mandla district, Central India (Madhya Pradesh)",Singh,1996,1990,1990,Madhya Pradesh,Mandla,Site 2 villages,Single,Wide Area,22.955,80.174,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
